sql中表名	表说明
b_areawz	库区货位对应表
b_bm	部门档案
b_customer	批发客户档案（零售同行档案）
b_customer_shr	客户收货人信息
b_customer_sp	客户经营品种信息
b_customer_ywdb_zj	客户业务代表整件
b_customer_zj	客户档案证件
b_customertype	客户类别
b_cwkm	财务科目
b_cxtype	促销方式
b_cydw	承运单位
b_cydw_jsy	承运单位驾驶员
b_cydw_yscxx	承运单位运输车辆信息
b_cydw_zj	承运单位证件
b_dainfo	商品属性表
b_dajdmd	商品档案建档门店
b_gsp_sypz	首营品种
b_gsp_syqy	首营企业
b_hr_px_zx	培训执行
b_hr_pxplan	培训计划
b_hr_pxqd	培训签到
b_kcarea	库区档案
b_lbda	门店分类及价格组分类
b_lbdamx	门店分类及价格组分类明细
b_md	门店档案
b_pos	销售点档案
b_prn_dwformat	发布的报表格式
b_pxkx	商品库限
b_pxlb	商品类别
b_pxmx	商品档案
b_pxmx_dc	百信并网模式门店上查询总部下传的商品档案
b_pxmx_dzb	百信并网模式门店和总部商品档案对码表，以及其它引入程序和其它软件的对码表
b_pxmx_zj	商品档案证件
b_pxmz	商品买赠套餐设置
b_pxmzmx	商品买赠套餐明细
b_pxmzmx_je	商品满增设置
b_pxmzsp	商品满增参与商品
b_pxno_log	货号设置日志记录
b_pxprice	商品价格
b_pxwz	商品货位
b_ryda_group	人员权限分组
b_ryfuncqx	人员功能权限
b_ryqx	人员销售点权限
b_ryzw	人员职务
b_sccj	生产厂家档案
b_tcbz	提成标准
b_tcbz_zdsp	提成标准-按指定商品
b_tcbz_lrl	提成标准-按利润率
b_vendor	供应商档案
b_vendor_px	供应商经营品种信息
b_vendor_ywdb	供应商业务代表信息
b_vendor_ywdb_zj	供应商业务代表证件信息
b_vendor_zj	供应商证件信息
b_vip	会员档案
b_viptype	会员类型
b_xfmz	消费满折设置
b_xfmzsp	消费满折参与商品ABC属性
b_xfmzbz	消费满折标准
d_autodo_sql	自动执行语句
d_autodo_sql_log	自动执行语句门店执行日志
d_autowarning	主页中的报警信息
d_ba_bl	病历档案
d_ba_cf	门诊处方
d_ba_cfmx	门诊处方明细
d_bll_prncnt	打印次数
d_cgdxz	采购单修正纲要
d_cgdxzmx	采购单修正明细
d_cgjxz	采购调价修正
